,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
15-01-2015,6,66,28,89,86,65,89,28,1,93,55,38,51,7,40,75,58,28,87,22,17,59,22,99,59,84,82
16-01-2015,62,18,39,26,27,29,95,0,27,3,88,93,30,79,60,8,49,49,4,94,9,78,44,23,63,13,56
17-01-2015,91,11,28,66,71,96,84,95,83,39,56,78,93,75,57,59,42,70,49,57,23,79,70,33,53,6,81
18-01-2015,58,99,0,17,30,37,20,88,92,58,59,76,76,87,13,28,73,58,49,23,17,6,36,69,39,74,87
19-01-2015,33,17,76,36,0,66,16,52,93,16,72,61,21,75,66,94,33,86,32,18,69,32,32,94,6,1,4
20-01-2015,56,31,91,5,51,91,44,27,49,45,95,11,23,10,15,31,90,78,67,55,57,51,94,38,34,19,74
21-01-2015,31,32,47,43,72,14,31,11,76,91,9,8,78,4,85,40,1,75,64,88,97,81,0,37,34,0,40
22-01-2015,90,89,38,75,59,86,24,91,75,91,17,14,32,99,17,89,16,74,69,86,60,65,60,17,71,94,42
23-01-2015,0,3,54,8,38,22,3,26,53,92,48,91,85,84,63,45,91,39,35,23,88,45,28,11,61,45,94
24-01-2015,3,32,48,64,94,88,39,54,73,29,90,22,60,20,46,58,14,95,31,32,74,7,51,18,38,64,78
25-01-2015,25,27,93,23,26,80,23,78,90,74,4,52,2,84,18,99,82,25,45,64,81,67,88,32,17,33,56
26-01-2015,19,0,26,27,19,39,81,72,66,98,69,32,65,91,52,37,72,7,34,55,37,94,95,53,96,84,2
27-01-2015,88,54,72,31,66,46,58,29,3,59,95,63,46,91,24,29,10,79,52,13,91,62,7,91,81,85,55
28-01-2015,50,37,45,9,26,87,12,43,80,87,65,97,84,74,25,97,24,72,31,94,21,45,34,59,28,69,30
29-01-2015,56,11,53,7,7,15,22,62,80,14,85,84,10,4,31,53,22,43,81,79,75,2,11,35,58,30,29
30-01-2015,26,95,70,98,38,41,8,5,98,5,34,48,31,20,30,35,48,10,7,68,44,8,35,9,56,37,93
31-01-2015,84,4,50,26,98,61,15,25,36,18,51,65,77,80,41,53,70,53,83,57,88,74,88,14,3,72,24
01-02-2015,45,47,68,64,50,71,24,89,14,29,55,36,22,53,28,27,95,81,0,86,7,71,83,4,16,99,80
02-02-2015,49,81,9,27,5,26,54,29,18,91,19,1,53,65,64,51,74,90,67,84,55,7,94,19,78,21,82
03-02-2015,18,83,13,29,69,26,5,46,39,82,24,22,82,60,97,57,48,75,40,2,52,63,77,59,10,80,15
04-02-2015,85,46,10,31,17,95,63,2,38,27,88,8,29,6,27,0,97,45,18,70,42,45,14,62,6,35,78
05-02-2015,5,17,66,24,16,94,37,29,86,27,56,58,95,25,21,78,16,59,78,44,80,2,98,29,88,12,90
06-02-2015,71,92,72,85,80,52,11,49,93,38,13,61,75,38,51,45,11,73,35,38,52,39,19,36,57,25,75
07-02-2015,36,49,6,74,44,44,60,97,90,27,36,94,93,33,87,0,63,51,89,67,47,85,98,53,56,75,61
08-02-2015,7,15,71,89,93,1,94,29,36,96,50,99,79,12,99,52,26,17,0,97,33,77,23,98,95,51,7
09-02-2015,6,83,16,59,88,7,40,59,93,83,64,71,22,29,71,4,3,31,66,33,64,37,48,11,42,35,75
10-02-2015,83,79,34,34,9,2,89,71,14,50,74,18,74,35,13,76,96,37,71,59,15,62,52,19,21,43,38
11-02-2015,18,79,4,95,90,67,68,76,10,31,47,1,84,34,12,68,62,69,85,14,50,54,81,47,8,27,35
12-02-2015,45,46,13,67,64,33,66,80,20,58,46,13,72,63,49,65,60,51,78,30,15,87,43,78,60,9,46
13-02-2015,54,88,77,4,28,87,16,27,53,74,77,34,56,11,21,16,48,74,35,23,86,14,77,45,30,13,66
14-02-2015,59,58,74,87,48,19,63,78,85,86,54,21,20,73,85,84,43,30,21,45,42,86,40,43,11,70,26
15-02-2015,63,35,4,52,85,76,71,45,2,55,79,71,95,57,70,84,49,14,81,33,29,32,27,16,97,12,18
16-02-2015,38,62,0,8,1,63,46,79,22,88,4,80,58,51,53,15,6,23,48,99,24,3,89,31,1,88,63
17-02-2015,11,22,93,49,55,67,76,10,94,80,37,88,31,24,95,31,89,72,12,8,57,69,3,97,1,14,59
22-02-2015,12,97,96,94,91,72,30,5,47,99,13,30,51,98,61,1,83,33,50,17,78,96,21,40,73,62,67
23-02-2015,4,66,6,54,86,54,66,89,36,2,55,37,21,7,62,51,75,58,74,19,21,15,22,16,55,32,28
24-02-2015,13,96,47,92,44,19,71,6,2,18,87,55,96,38,81,87,99,33,61,94,21,92,86,35,49,22,82
25-02-2015,53,63,76,32,12,17,22,32,8,79,47,24,24,67,12,85,72,57,62,77,79,84,7,77,26,28,69
26-02-2015,91,59,61,54,57,25,4,85,96,64,7,35,68,54,89,36,14,57,99,36,91,80,29,15,68,97,52
27-02-2015,88,85,85,80,72,63,87,74,10,20,95,95,47,4,13,9,25,6,55,15,11,32,41,2,96,79,9
28-02-2015,93,65,55,56,77,96,52,32,14,24,59,46,6,75,98,70,9,78,66,5,74,77,22,93,27,30,9
01-03-2015,95,68,73,26,33,52,5,0,37,73,34,8,12,16,54,79,63,55,3,84,67,93,68,92,70,64,43
02-03-2015,97,94,68,89,19,52,83,9,83,57,99,88,49,47,69,61,9,58,16,19,81,52,22,8,27,94,4
03-03-2015,48,36,72,38,79,34,29,32,46,44,48,2,45,18,80,11,80,9,29,50,39,42,75,70,39,71,94
04-03-2015,55,2,77,39,22,54,71,71,31,76,50,17,12,80,62,64,39,14,94,1,73,31,67,60,36,70,86
05-03-2015,62,23,15,78,62,32,62,34,66,20,52,79,67,64,90,15,66,70,77,63,43,48,33,64,87,7,26
06-03-2015,85,70,44,51,97,0,58,46,27,72,80,75,41,18,66,30,23,67,34,67,25,81,87,18,16,49,45
07-03-2015,88,54,59,2,98,66,53,22,43,84,20,80,53,26,17,73,14,74,45,47,38,16,55,13,36,79,50
08-03-2015,27,79,94,67,9,36,33,85,22,98,94,36,34,23,61,75,28,90,30,8,2,62,68,36,62,9,22
09-03-2015,99,86,50,16,29,16,13,93,66,3,13,3,77,44,89,9,47,8,36,46,35,55,85,5,90,14,20
10-03-2015,50,9,25,82,87,49,82,59,61,62,43,64,9,20,52,60,78,21,46,93,32,17,10,34,64,79,30
11-03-2015,17,9,12,54,29,96,0,36,55,17,48,5,31,96,14,46,66,79,51,74,90,46,66,53,58,49,82
12-03-2015,7,34,41,46,60,85,37,94,91,70,85,27,54,45,76,40,4,96,62,79,76,20,99,94,11,52,13
13-03-2015,29,65,75,82,63,45,90,47,91,24,32,94,11,76,4,29,82,9,79,71,34,19,39,65,42,88,14
14-03-2015,1,83,35,93,11,70,37,84,15,76,23,98,17,49,76,45,44,79,70,90,48,87,13,91,10,4,5
15-03-2015,89,85,94,96,71,70,29,41,43,21,31,71,54,79,82,58,84,78,80,49,87,12,85,7,18,49,25
16-03-2015,89,35,99,63,73,93,58,86,80,44,54,23,95,47,88,70,76,8,34,35,86,72,70,17,3,33,79
17-03-2015,51,13,21,35,1,54,73,76,94,14,17,60,20,58,65,74,36,70,30,90,92,98,98,78,8,29,12
18-03-2015,33,55,32,15,94,96,59,82,72,74,75,50,25,86,3,63,81,74,95,93,47,70,86,80,63,37,72
19-03-2015,56,5,84,13,31,16,31,13,73,39,25,43,9,95,76,95,50,63,56,92,66,12,93,73,76,90,60
20-03-2015,72,88,35,15,61,57,22,96,59,86,60,27,76,80,66,1,64,74,79,81,73,27,55,29,13,58,74
21-03-2015,87,30,30,73,83,96,13,20,20,96,73,29,1,78,69,0,82,35,83,40,45,61,95,32,15,99,26
22-03-2015,3,83,30,13,20,53,86,75,85,76,73,67,16,66,2,50,81,62,4,64,86,85,94,27,60,99,39
23-03-2015,27,34,62,80,74,95,4,21,30,41,82,44,53,46,30,97,34,84,45,44,30,21,4,89,1,53,13
24-03-2015,81,72,32,65,89,81,84,68,18,47,73,33,6,58,30,2,47,93,0,31,4,92,33,38,5,46,82
25-03-2015,47,26,91,17,96,4,40,33,60,11,96,20,40,30,13,72,34,96,79,24,76,61,91,96,69,57,17
26-03-2015,24,69,30,10,17,31,24,27,7,75,43,33,27,48,39,74,35,17,17,27,43,97,55,26,23,66,63
27-03-2015,45,73,46,79,49,78,88,24,40,20,48,90,12,8,62,59,92,74,93,93,92,21,29,59,58,57,67
28-03-2015,57,2,74,23,31,84,75,76,98,45,78,83,66,16,28,30,56,49,74,3,57,30,14,79,24,13,15
29-03-2015,19,86,95,15,20,77,8,69,64,25,70,98,26,19,16,50,10,78,93,5,26,74,59,94,95,65,22
30-03-2015,71,22,48,39,82,32,32,79,56,66,93,42,7,25,46,39,95,99,21,60,87,47,5,35,13,96,29
31-03-2015,4,34,76,93,72,6,1,23,73,65,9,81,81,81,95,62,50,60,85,98,6,5,86,97,43,16,70
01-04-2015,0,39,0,56,91,66,0,23,45,85,5,58,18,23,98,25,78,25,16,99,88,45,9,77,37,12,96
02-04-2015,65,30,78,34,79,84,6,37,45,91,47,29,92,27,24,59,80,1,53,85,58,48,27,33,6,91,82
03-04-2015,99,35,70,49,63,3,27,61,52,63,0,4,84,67,95,41,49,95,65,29,49,10,18,92,43,19,6
04-04-2015,81,60,35,36,3,17,40,27,55,57,21,56,34,40,58,27,17,27,62,5,2,30,69,26,32,0,8
05-04-2015,86,59,1,39,57,60,75,30,49,69,39,88,46,49,34,48,98,5,53,12,35,7,5,36,75,35,71
06-04-2015,67,37,24,66,90,36,85,95,51,67,68,51,4,31,94,64,33,79,21,22,42,57,10,66,47,73,1
07-04-2015,52,80,64,45,3,56,89,90,76,59,0,93,22,30,50,47,90,0,41,47,14,93,56,92,33,48,97
08-04-2015,25,54,64,87,98,0,83,27,20,84,48,19,83,75,29,16,66,8,75,59,5,54,53,95,77,35,97
09-04-2015,75,83,74,53,4,86,57,11,54,78,85,33,56,30,48,39,18,59,4,20,49,6,86,21,79,40,6
10-04-2015,15,63,76,87,0,0,52,74,43,68,27,4,25,31,72,4,11,64,89,6,45,34,44,74,9,62,13
11-04-2015,12,55,36,43,85,87,78,18,83,1,91,4,34,83,27,10,63,25,39,83,11,91,31,75,62,25,3
12-04-2015,96,1,14,86,67,38,24,10,77,84,6,24,65,24,81,63,23,58,25,67,6,29,88,52,2,11,46
13-04-2015,13,52,3,43,40,57,62,47,40,31,51,8,17,90,95,17,80,15,38,45,93,37,31,74,43,45,84
14-04-2015,64,81,62,8,0,85,14,51,58,1,13,80,84,53,0,56,91,75,15,68,12,81,94,33,91,1,79
15-04-2015,15,59,33,4,81,33,42,45,37,64,86,26,23,73,41,55,65,81,85,86,66,21,5,24,43,38,60
16-04-2015,73,36,46,62,99,63,66,46,53,67,58,51,42,46,62,86,9,23,19,13,33,35,30,24,16,69,96
17-04-2015,48,83,7,53,53,48,16,37,88,60,47,70,27,41,13,67,89,46,93,14,96,44,48,1,44,74,95
18-04-2015,16,29,61,78,30,48,58,24,24,44,1,65,33,96,48,37,55,52,52,17,45,0,37,27,21,94,22
19-04-2015,72,10,20,60,24,31,94,7,7,26,26,31,42,90,98,65,76,29,95,86,50,1,53,7,63,9,8
20-04-2015,66,12,10,0,11,27,39,71,95,79,90,19,79,55,3,5,94,96,48,40,56,58,20,2,26,91,28
21-04-2015,68,30,26,28,59,33,63,45,78,61,69,75,8,67,34,10,90,53,86,6,89,32,44,23,75,39,80
22-04-2015,60,49,56,63,32,72,79,96,21,28,4,91,70,29,25,58,70,89,33,34,13,86,98,16,19,82,92
23-04-2015,51,88,15,0,94,60,38,20,28,10,59,76,72,15,51,88,73,55,53,7,42,25,51,56,92,51,79
24-04-2015,78,63,99,96,42,72,1,0,87,4,42,36,4,71,18,61,71,4,17,71,53,50,95,82,27,15,19
25-04-2015,76,69,68,30,27,92,55,3,39,25,88,7,74,44,86,70,41,67,1,49,53,75,24,30,52,24,16
26-04-2015,93,89,18,68,46,52,30,61,22,12,73,13,82,13,99,81,57,82,3,76,65,61,50,49,2,97,39
27-04-2015,29,17,7,61,77,39,29,21,76,86,15,36,15,88,48,77,23,58,7,18,4,89,40,35,55,81,4
28-04-2015,71,99,70,21,73,3,97,7,96,6,98,42,24,94,48,23,87,99,70,38,32,75,43,93,80,77,68
29-04-2015,69,71,26,40,26,18,81,73,15,92,32,19,29,38,36,87,41,57,63,40,40,68,7,65,64,83,38
30-04-2015,44,13,97,59,7,23,92,33,24,2,34,83,2,76,29,21,52,62,70,75,80,89,45,63,82,75,39
01-05-2015,31,94,90,23,40,89,37,94,25,4,25,11,34,76,76,97,72,18,39,64,39,40,5,49,61,24,9
02-05-2015,47,10,51,45,59,49,78,4,67,76,65,10,32,45,71,43,50,41,54,41,85,27,11,89,77,78,0
03-05-2015,15,6,30,54,31,67,94,6,51,22,1,38,52,65,50,83,80,38,57,31,0,0,61,77,54,70,23
04-05-2015,83,70,25,32,85,79,40,16,68,65,9,26,62,16,83,96,49,49,5,51,61,45,3,19,60,56,65
05-05-2015,20,89,64,51,51,19,44,38,94,5,18,2,15,5,93,35,76,59,58,27,71,18,97,38,41,14,12
06-05-2015,75,1,78,39,74,51,0,81,63,58,95,97,40,30,78,53,78,37,90,98,53,88,95,64,33,6,22
07-05-2015,10,29,25,20,48,45,33,1,71,45,4,53,86,7,54,6,43,83,74,29,83,38,41,16,12,95,46
08-05-2015,91,81,8,20,85,73,27,88,14,70,53,0,42,43,20,25,15,16,35,76,63,3,91,45,93,95,46
09-05-2015,7,74,17,90,87,96,55,50,15,72,76,93,52,44,96,39,11,2,99,0,72,92,40,20,95,64,41
10-05-2015,68,96,98,21,8,98,12,81,89,94,80,90,16,98,74,69,33,39,49,41,99,75,19,33,99,87,8
11-05-2015,20,55,40,14,78,11,19,44,10,49,71,52,27,70,91,44,63,4,46,84,20,1,41,91,81,58,54
12-05-2015,75,13,51,35,15,56,85,14,99,56,47,46,62,72,34,88,29,13,70,71,90,50,89,67,23,92,38
13-05-2015,10,4,13,8,4,44,18,56,10,30,92,88,97,35,52,66,10,51,34,81,17,47,73,38,4,50,0
14-05-2015,95,83,49,93,43,56,38,4,97,33,69,45,5,63,33,64,35,83,6,57,10,89,84,38,75,16,32
15-05-2015,99,7,85,73,19,27,50,3,3,61,1,73,60,72,12,86,38,63,36,28,49,8,26,65,44,52,87
16-05-2015,43,81,41,35,48,27,58,18,8,21,49,66,90,51,64,65,86,95,42,42,17,54,45,81,38,74,26
17-05-2015,62,70,82,8,68,26,79,10,40,42,73,2,16,57,97,71,77,85,17,20,97,22,13,61,50,17,35
18-05-2015,6,18,7,53,25,91,36,66,42,35,89,46,1,2,23,7,34,3,33,10,29,62,51,31,30,90,40
19-05-2015,20,87,75,22,82,94,75,13,17,15,69,93,47,67,42,78,18,18,25,85,10,40,50,22,0,64,63
20-05-2015,63,29,76,44,11,10,75,51,97,8,7,82,19,51,74,63,81,56,61,20,75,72,44,41,14,91,0
21-05-2015,0,93,58,90,48,84,76,20,94,28,26,77,93,38,45,58,84,49,41,89,5,54,11,20,71,39,80
22-05-2015,26,14,42,76,11,52,11,26,34,80,87,98,96,23,73,40,14,83,42,77,25,86,78,80,75,25,79
23-05-2015,69,3,5,17,94,69,48,26,62,51,80,43,60,49,12,75,28,31,60,19,44,25,54,47,40,14,16
24-05-2015,44,79,32,17,12,27,90,68,91,28,91,4,9,88,89,6,75,97,33,41,85,83,67,41,89,20,73
25-05-2015,46,53,65,45,85,33,41,96,72,91,94,60,75,36,3,21,63,10,39,90,18,99,41,13,78,66,16
26-05-2015,56,67,26,88,44,63,81,45,34,71,8,16,6,57,70,2,59,43,20,71,44,76,50,22,20,95,42
27-05-2015,55,56,25,31,48,36,83,43,51,91,46,37,39,82,44,48,58,89,59,47,85,78,5,92,14,56,24
28-05-2015,61,79,18,36,4,77,21,99,78,8,22,6,45,79,32,38,94,91,74,14,33,67,33,69,41,10,42
29-05-2015,18,54,73,85,48,69,79,77,35,54,16,74,78,20,7,22,97,17,61,2,80,65,32,64,42,40,99
30-05-2015,37,88,72,17,41,38,14,66,66,57,70,63,14,31,7,20,83,97,68,5,54,20,6,87,32,48,78
31-05-2015,39,61,75,39,24,33,38,61,36,37,11,67,11,13,14,25,81,98,55,68,14,37,68,24,42,21,68
01-06-2015,78,0,12,42,55,11,86,18,66,8,19,81,73,0,85,55,13,95,82,18,8,98,19,62,33,36,29
02-06-2015,32,48,85,31,73,80,5,78,39,83,87,4,47,3,56,3,31,65,23,89,35,46,26,93,15,67,87
03-06-2015,40,30,70,65,21,1,28,85,58,32,78,55,61,85,40,45,12,58,29,88,37,43,87,33,1,82,38
04-06-2015,78,50,3,52,49,80,60,39,99,70,30,8,95,62,93,22,75,63,99,4,54,66,97,83,15,37,87
05-06-2015,84,64,30,86,50,21,42,18,68,16,39,88,69,76,68,31,33,97,97,75,58,93,81,38,74,32,58
06-06-2015,20,23,42,21,0,54,65,64,86,93,32,70,39,44,99,31,81,0,28,90,50,79,38,25,16,17,76
07-06-2015,95,50,81,23,60,71,86,93,46,50,23,13,29,62,69,1,57,26,71,11,38,16,45,90,67,44,88
08-06-2015,84,77,5,37,80,76,20,21,39,36,63,69,21,18,4,76,83,41,19,5,52,90,35,48,24,35,76
09-06-2015,27,6,99,1,82,7,47,83,88,35,5,97,67,20,44,79,70,13,99,52,53,26,69,88,10,87,40
10-06-2015,2,17,8,6,70,56,54,17,58,35,46,87,20,13,52,18,19,55,47,60,18,41,43,79,62,26,52
11-06-2015,66,17,47,74,46,74,23,36,55,25,94,23,18,92,9,52,91,90,21,41,90,73,59,47,9,51,79
12-06-2015,29,35,70,76,51,56,14,84,10,21,29,2,11,18,68,97,55,33,53,47,12,69,70,54,20,19,34
13-06-2015,82,4,60,58,14,89,60,43,59,37,77,24,90,62,0,12,79,80,1,79,44,98,72,84,20,28,83
14-06-2015,31,32,57,9,61,7,3,5,63,87,24,59,60,87,40,30,61,87,22,81,48,12,34,49,64,95,15
15-06-2015,48,34,47,50,80,26,26,57,93,71,25,67,41,51,33,29,16,14,30,95,4,50,86,90,66,87,94
16-06-2015,22,26,35,47,85,75,14,32,6,52,36,0,56,1,61,76,87,55,39,85,29,69,14,77,35,16,92
17-06-2015,67,11,82,54,53,56,35,61,40,9,59,49,76,93,82,95,48,30,89,34,94,38,7,1,44,98,27
18-06-2015,91,11,1,75,18,12,89,66,83,9,35,48,97,63,0,71,30,97,7,73,40,20,41,93,91,27,88
19-06-2015,39,92,30,27,25,60,7,73,89,90,16,6,79,90,78,86,68,35,11,70,21,9,10,8,36,40,51
20-06-2015,36,78,24,41,86,43,97,6,58,32,71,1,52,39,16,61,54,92,43,55,26,59,51,63,35,82,92
21-06-2015,63,33,64,37,80,6,9,71,62,11,94,22,46,36,53,12,5,54,36,36,15,89,59,76,51,59,82
22-06-2015,20,49,61,49,92,40,60,2,7,95,49,30,2,42,88,50,42,74,23,65,83,43,61,22,21,68,91
23-06-2015,93,22,89,33,44,13,72,60,35,18,78,46,7,77,64,40,28,87,81,65,32,69,95,67,38,96,55
24-06-2015,70,78,59,92,86,63,98,41,32,50,38,19,12,41,56,24,73,99,60,74,27,3,75,35,59,38,95
25-06-2015,19,19,99,83,93,78,70,60,73,18,6,53,40,93,16,46,81,85,41,97,53,39,44,61,91,46,9
26-06-2015,0,11,29,75,41,59,90,16,48,79,70,4,3,82,46,29,8,23,27,31,54,84,91,12,42,28,89
27-06-2015,81,17,26,18,6,24,60,3,23,12,11,81,94,37,35,35,36,67,31,73,0,27,88,71,62,25,57
28-06-2015,62,2,5,53,95,62,86,77,43,28,20,2,64,70,22,37,0,87,0,62,8,55,20,25,95,47,35
29-06-2015,49,99,53,97,83,36,89,45,72,35,22,21,92,20,97,34,38,41,85,95,77,61,81,78,7,26,73
30-06-2015,3,18,76,44,10,25,66,16,14,63,23,76,24,11,30,44,0,99,39,96,22,46,15,29,9,94,60
01-07-2015,65,86,32,72,15,79,56,62,55,60,3,72,32,62,10,10,20,57,24,5,22,9,73,36,85,66,1
02-07-2015,87,9,96,55,44,8,27,43,89,24,69,0,17,14,66,14,16,59,97,75,51,24,11,20,54,83,34
03-07-2015,62,51,44,24,23,53,83,61,33,44,7,21,50,62,39,61,25,38,37,31,62,99,62,24,6,2,34
04-07-2015,54,40,90,57,81,11,9,9,36,22,64,80,25,46,51,48,31,93,51,21,1,49,27,99,65,13,35
05-07-2015,92,27,22,12,39,22,41,69,29,76,14,41,97,34,16,92,7,85,83,78,29,61,16,79,24,23,2
06-07-2015,84,68,5,85,30,0,14,89,61,37,50,86,35,12,98,19,77,39,96,33,93,33,26,70,72,81,36
07-07-2015,46,53,40,38,59,68,68,88,40,49,45,73,31,43,54,42,46,86,62,86,78,40,39,67,21,96,71
08-07-2015,65,40,88,51,55,8,97,96,65,38,61,4,22,98,19,70,12,16,44,81,33,76,34,38,88,21,89
09-07-2015,76,30,12,17,59,52,26,60,97,64,61,88,27,42,35,9,8,13,34,78,44,80,68,53,7,30,27
10-07-2015,56,39,85,2,84,3,18,27,29,77,13,84,29,15,19,39,13,4,44,13,1,17,81,38,21,16,62
11-07-2015,9,65,41,28,73,64,4,10,8,30,19,20,71,10,32,36,0,42,68,30,38,85,68,17,68,59,91
12-07-2015,74,27,35,62,13,26,11,16,76,35,68,61,62,53,90,77,78,41,74,29,19,91,73,38,18,47,78
13-07-2015,84,41,3,38,36,39,13,97,41,96,5,42,65,78,60,30,61,10,24,31,32,10,95,21,82,84,70
14-07-2015,0,80,43,6,64,13,21,38,51,73,14,76,47,35,48,2,41,65,33,57,66,64,10,30,1,89,82
15-07-2015,56,60,59,43,65,18,48,48,79,63,63,72,66,97,55,94,27,3,96,58,28,20,37,86,78,46,21
16-07-2015,14,75,38,2,17,74,34,25,14,12,63,67,86,71,95,8,4,50,37,7,52,80,10,76,25,94,97
17-07-2015,22,39,38,9,24,66,57,31,81,79,95,87,3,11,7,52,20,49,21,89,98,22,67,5,25,94,60
18-07-2015,40,49,55,59,98,27,7,21,82,43,58,40,19,3,53,48,59,89,71,39,19,73,60,20,54,73,9
19-07-2015,3,40,52,9,76,85,46,23,6,97,45,49,19,71,46,37,73,85,71,30,15,91,77,92,32,37,35
20-07-2015,20,21,53,43,88,53,94,66,62,97,97,45,53,89,47,49,99,56,17,5,26,54,49,30,0,74,47
21-07-2015,14,2,99,0,37,98,40,56,72,49,4,66,92,23,73,99,75,49,91,32,26,69,10,36,23,67,68
22-07-2015,90,29,3,52,55,62,88,83,87,15,82,84,83,81,5,80,74,96,49,79,76,93,23,7,67,46,59
23-07-2015,20,41,8,45,82,14,14,8,36,69,69,15,80,16,71,23,45,58,47,33,12,33,18,88,49,10,45
24-07-2015,88,61,61,98,72,35,19,67,26,66,42,54,56,29,82,79,61,48,91,59,83,24,51,43,80,26,82
25-07-2015,90,5,88,90,38,0,61,59,8,75,96,42,15,43,56,21,17,24,36,47,26,73,67,37,63,21,94
26-07-2015,75,17,10,0,69,65,51,31,50,99,12,94,1,3,63,56,34,42,90,76,80,97,82,20,38,52,93
27-07-2015,9,92,56,92,41,1,69,42,70,8,73,69,44,37,33,29,90,81,29,9,70,34,30,15,10,65,0
28-07-2015,79,6,71,43,55,45,31,45,85,83,25,77,73,6,71,69,2,45,3,78,5,77,79,95,75,30,19
29-07-2015,59,10,32,45,66,41,38,63,65,85,4,62,96,56,78,37,23,84,76,63,32,27,4,64,72,42,90
30-07-2015,96,41,94,98,32,61,0,18,19,23,64,66,63,75,23,53,13,25,92,55,96,83,93,5,19,37,55
31-07-2015,74,20,90,3,72,63,81,81,73,18,26,80,13,35,10,97,43,69,66,51,58,94,62,13,12,50,45
01-08-2015,43,52,79,88,72,71,95,88,42,32,71,65,5,39,67,10,98,43,86,4,57,90,30,6,38,26,81
02-08-2015,50,94,43,68,14,88,81,44,35,14,60,61,95,13,73,98,19,3,92,44,42,1,84,58,4,85,76
03-08-2015,95,40,24,71,75,2,64,22,53,13,49,4,27,50,67,29,7,66,99,35,86,98,79,0,91,12,23
04-08-2015,8,61,19,67,25,98,5,72,50,23,80,68,82,52,35,5,77,88,90,6,47,91,98,25,71,33,60
05-08-2015,30,49,27,73,81,32,95,24,0,75,79,22,55,59,15,93,77,68,2,3,24,33,77,44,69,47,61
06-08-2015,73,24,43,67,87,1,88,57,97,12,89,22,26,67,64,66,17,11,73,93,31,0,42,12,56,78,72
07-08-2015,82,14,88,65,90,14,20,32,40,0,43,29,69,11,17,13,49,55,78,37,60,53,10,63,79,77,12
08-08-2015,31,64,1,33,25,63,86,83,27,98,29,75,81,1,7,98,99,77,61,11,86,83,20,24,61,23,46
09-08-2015,36,79,33,25,15,26,23,86,93,24,0,26,38,7,86,5,14,10,52,4,89,82,70,35,8,96,78
10-08-2015,76,88,42,71,21,67,65,97,15,7,63,79,17,35,11,90,38,11,47,48,72,38,0,23,79,53,95
11-08-2015,8,70,43,17,44,54,78,66,93,12,39,84,35,5,8,2,79,48,86,5,22,73,49,0,57,22,86
12-08-2015,5,45,88,36,83,22,49,9,82,86,46,8,26,76,71,47,48,67,46,75,10,88,53,9,73,59,11
13-08-2015,89,5,76,78,6,67,79,85,25,57,46,23,64,4,68,80,75,16,8,45,72,30,50,90,0,56,12
14-08-2015,36,53,95,31,49,51,98,81,68,19,7,37,13,77,51,72,20,3,10,1,30,61,49,92,72,32,84
15-08-2015,21,83,52,84,93,13,19,65,3,44,57,15,43,74,89,49,26,28,22,95,15,10,31,51,92,70,90
16-08-2015,36,65,21,37,17,39,58,86,95,90,81,94,13,57,49,45,47,48,1,34,82,55,14,48,28,30,56
