,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
29-01-2015,54556,64211,71853,45507,93207,28115,21422,46662,93380,56914,1385,6084,7410,5404,9531,7453,7922,2143,6081,5479,575,102,511,35,58,30,29
30-01-2015,71426,43495,23470,60998,28538,32541,79908,43205,00098,84805,4534,0348,6631,1620,6430,1035,2348,8810,8907,3568,944,808,635,09,56,37,93
31-01-2015,11084,04904,39450,20026,90198,09561,31515,96125,95736,14718,2551,0265,5477,4180,9141,2353,0570,5353,4083,9757,088,674,688,14,03,72,24
01-02-2015,76945,36547,81868,06164,23950,77271,13224,22989,98714,92429,4355,6136,5122,0153,7428,1927,1295,8081,1200,3486,307,271,583,04,16,99,80
02-02-2015,60649,88581,54709,12527,39605,36826,56654,99029,05018,23091,2319,6401,7353,3965,8564,1351,1774,8490,2667,9684,455,907,294,19,78,21,82
03-02-2015,84018,21983,52513,23129,84069,31626,25705,28946,81039,74282,1724,4322,6782,3660,1697,4157,2248,6375,9240,8102,252,863,877,59,10,80,15
04-02-2015,24285,03046,49710,31631,29717,37895,52463,10202,42638,09327,8788,0608,9529,0806,3927,9700,4097,4845,8518,5570,442,245,014,62,06,35,78
05-02-2015,48405,15617,60966,24424,59416,98894,28037,64429,94386,18527,6056,6258,0095,3425,4921,4478,3416,1959,6678,0944,280,502,198,29,88,12,90
06-02-2015,50971,26592,96872,27185,46280,75852,52111,03949,11293,01638,5813,7161,9875,6138,4551,4245,3511,3473,1635,8238,652,539,719,36,57,25,75
07-02-2015,97236,39549,30506,18574,03444,91444,12760,08697,24490,03927,5436,5694,5093,1433,2587,6300,6563,9451,6289,8767,147,385,498,53,56,75,61
08-02-2015,03607,69015,12971,79189,83893,43601,73794,07129,52336,58696,5950,2599,7279,3712,4499,0752,3526,5517,2500,6197,633,077,723,98,95,51,07
09-02-2015,69006,43183,94116,70859,04288,37507,44940,42859,44593,41283,0364,8071,0122,4929,5671,7004,4703,5031,5766,9533,264,437,148,11,42,35,75
10-02-2015,71083,82479,00534,79634,92709,73802,24889,12571,74514,87450,7674,0218,9074,6435,8313,7876,7296,0437,3471,7159,515,562,152,19,21,43,38
11-02-2015,27518,86279,40404,79495,48990,19667,48368,78976,78410,90231,8947,5601,8584,0834,0712,7268,8062,6269,9885,4114,250,454,281,47,08,27,35
12-02-2015,22545,58946,55713,63267,36564,87633,82166,33180,61920,59058,0946,9813,8872,4063,4449,3965,0860,0251,1178,3930,415,587,943,78,60,09,46
13-02-2015,81254,52688,04477,22804,09628,39387,99716,96627,99453,90474,3377,7634,4756,3311,9121,5116,1548,1874,6435,1223,386,414,377,45,30,13,66
14-02-2015,60459,81258,58774,40187,22948,28519,27663,18278,86385,15186,3154,2821,3020,2273,2485,3284,8443,1230,0621,7045,542,586,340,43,11,70,26
15-02-2015,59563,13735,63604,81852,22585,57376,88871,13045,42102,31055,1679,2371,6195,8957,9670,1884,3449,2114,6781,4633,529,232,927,16,97,12,18
16-02-2015,71638,74662,47200,92408,00301,43463,74646,33179,37222,77488,1604,9380,1958,3351,9053,3915,5906,1423,4048,3299,124,503,489,31,01,88,63
17-02-2015,29111,06322,36493,06449,76555,14167,22476,74610,03394,33080,3437,2388,2731,5024,1195,5031,0789,3772,8712,9608,857,869,303,97,01,14,59
18-02-2015,29111,06322,36493,06449,76555,14167,22476,74610,03394,33080,3437,2388,2731,5024,1195,5031,0789,3772,8712,9608,857,869,303,97,01,14,59
19-02-2015,29111,06322,36493,06449,76555,14167,22476,74610,03394,33080,3437,2388,2731,5024,1195,5031,0789,3772,8712,9608,857,869,303,97,01,14,59
20-02-2015,29111,06322,36493,06449,76555,14167,22476,74610,03394,33080,3437,2388,2731,5024,1195,5031,0789,3772,8712,9608,857,869,303,97,01,14,59
21-02-2015,29111,06322,36493,06449,76555,14167,22476,74610,03394,33080,3437,2388,2731,5024,1195,5031,0789,3772,8712,9608,857,869,303,97,01,14,59
22-02-2015,13812,95097,27396,54094,42891,70172,54930,43905,51247,09099,7813,7630,5151,2198,7261,6401,7483,1733,0650,3617,878,096,021,40,73,62,67
23-02-2015,01204,53566,65106,13554,83486,78254,82366,34389,21936,24302,6855,4537,1321,1407,3262,8151,9875,0858,9474,5819,621,415,922,16,55,32,28
24-02-2015,67313,61796,16947,41592,49844,37819,57471,12206,86002,74418,7587,8755,9096,2438,9581,4287,4899,0133,2961,4194,221,392,286,35,49,22,82
25-02-2015,15853,50163,28176,14432,58712,99917,23922,46232,89108,16679,2447,8324,5024,3167,5112,3885,3672,0457,5162,5777,079,884,207,77,26,28,69
26-02-2015,16291,99759,16461,91354,83357,53925,43304,72685,51296,22864,0207,1835,9568,9154,7789,5736,2614,0457,9799,1536,291,280,229,15,68,97,52
27-02-2015,48088,95485,44085,02280,67872,57563,87487,28274,92310,02820,8095,5595,8547,2504,0613,9109,8125,9106,9855,1515,911,632,341,02,96,79,09
28-02-2015,62393,51465,05455,27356,79777,36796,74552,92132,84814,33024,1459,6846,9806,4075,1098,6870,3709,7878,2666,5905,674,677,322,93,27,30,09
01-03-2015,58195,41268,36273,70126,47333,96452,66805,96100,64537,86973,1834,7908,0612,2516,7254,1779,4063,4655,4503,7084,767,393,068,92,70,64,43
02-03-2015,23297,94194,16168,02489,46219,22052,44283,85009,23783,22657,3599,6088,3449,1847,7769,4561,5309,6158,4616,6219,281,952,322,08,27,94,04
03-03-2015,34548,57336,88372,52438,24079,35734,14929,18232,87846,17744,2248,4402,5445,5918,0480,5911,6880,5409,2129,5050,939,942,575,70,39,71,94
04-03-2015,14455,94402,66777,62239,64822,16554,48271,34271,78931,40976,7250,5417,1012,5180,2062,4864,2339,5014,8394,6901,873,231,167,60,36,70,86
05-03-2015,89462,44123,30615,05478,28562,22432,49762,92234,68366,21320,0752,8479,1367,5064,6090,5115,4866,3270,3877,5263,443,848,733,64,87,07,26
06-03-2015,87585,54470,68844,09451,04397,46900,14658,54046,52527,74272,8180,2575,8841,2818,1866,2830,3023,7967,6034,2867,225,281,387,18,16,49,45
07-03-2015,31288,28754,67359,07202,28698,03666,39353,39122,14143,93484,2120,5180,9253,9326,6917,8873,7414,1574,7345,3847,138,916,555,13,36,79,50
08-03-2015,55427,96779,25394,28567,98809,61036,26833,18885,35522,13998,4494,0736,8934,6123,3361,8675,6528,4190,9830,7508,102,762,668,36,62,09,22
09-03-2015,80299,20186,33950,80216,63429,32316,77013,83993,29466,25103,4613,1603,8877,5844,3089,0009,0647,6108,4636,1146,135,755,685,05,90,14,20
10-03-2015,91950,98609,38325,79982,02387,98949,20182,77659,31061,00762,1443,3764,9209,9120,0752,9860,1978,8321,9046,6293,032,617,510,34,64,79,30
11-03-2015,36017,47509,06912,53654,99729,42996,36400,61936,52255,93017,6548,6405,9431,6896,6414,2246,6966,3279,9451,9674,290,546,566,53,58,49,82
12-03-2015,93207,05634,85741,07746,43160,46785,27737,15994,53491,96370,1485,8727,9654,2945,9476,8740,6504,6896,4562,6579,776,520,699,94,11,52,13
13-03-2015,72429,21665,63275,51882,45563,92545,90390,77047,81991,72224,5832,8194,3111,7176,4904,9129,0882,3309,7479,0671,334,819,639,65,42,88,14
14-03-2015,88301,01883,37735,10493,09911,95370,51037,49984,51715,98576,6123,2098,1917,8449,5776,9245,4344,1379,4470,6790,648,587,013,91,10,04,05
15-03-2015,78089,46985,89294,99896,68671,27370,23629,54341,47043,23321,3831,4871,2754,7279,8682,9558,8984,7178,8680,4649,787,012,485,07,18,49,25
16-03-2015,35489,33335,35999,58763,80673,78193,29358,56586,35480,32744,3754,1623,8095,3047,4488,4770,4576,8108,2734,7135,986,972,770,17,03,33,79
17-03-2015,28451,32513,19921,65435,26001,54754,16873,65876,54694,71014,0017,9160,3320,1858,8365,2374,8236,2270,1930,9390,592,098,298,78,08,29,12
18-03-2015,96033,54055,61432,39715,88094,47196,58759,63582,62772,05474,1875,3250,4225,5786,0503,4063,6681,2074,5995,6893,047,270,386,80,63,37,72
19-03-2015,83756,63805,89684,42613,52331,17816,11131,98013,25373,26339,6525,2143,0909,8595,2176,7995,0650,0763,3456,9792,466,012,393,73,76,90,60
20-03-2015,79872,17388,94735,79715,24461,77957,38622,78096,63759,26186,9160,7127,2076,2180,1666,2301,9164,2274,3579,8081,273,027,955,29,13,58,74
21-03-2015,49387,98930,96630,55673,53183,54096,05413,49320,29020,53696,7173,2929,8501,2778,1869,5800,7782,5035,9683,0240,645,061,695,32,15,99,26
22-03-2015,68603,77183,04730,28113,55120,63553,45686,55775,26585,42376,0573,0667,7216,5166,5502,8550,3281,3762,8304,8464,986,685,494,27,60,99,39
23-03-2015,93027,92434,85162,39680,97374,03495,34204,77021,49630,06941,9082,2344,2153,8946,1030,4797,6034,4484,1245,8444,030,321,304,89,01,53,13
24-03-2015,56781,55072,29332,55965,30889,37381,81284,42468,33718,51247,8573,4833,7406,5158,2830,5702,4147,6793,1900,4231,204,492,533,38,05,46,82
25-03-2015,31447,33426,27091,35417,02796,47904,68540,77233,82960,00311,3496,4620,2640,6630,5313,8972,5534,8396,3579,9024,076,261,691,96,69,57,17
26-03-2015,38024,05869,68630,40310,68017,57031,07524,64127,15407,54875,7443,4133,0427,0048,3539,1274,0735,1217,1017,6727,843,297,255,26,23,66,63
27-03-2015,25345,13373,14946,00079,50949,53378,99788,19324,79340,29420,9148,8490,2512,1608,4262,6459,0192,1474,3693,1393,892,421,629,59,58,57,67
28-03-2015,45057,31802,69074,39623,98031,03484,63575,52476,14998,51045,9678,9783,0466,3616,7528,1830,2656,0849,4274,5203,057,630,114,79,24,13,15
29-03-2015,20019,22386,99295,36215,72520,05977,23908,98669,60264,54525,3370,9498,4826,5719,5216,5850,6010,3878,2293,9005,426,674,559,94,95,65,22
30-03-2015,49471,56122,25948,20339,34782,66432,31632,31479,07356,44166,7193,4642,0807,3825,0946,3839,7695,9299,4521,8460,687,347,905,35,13,96,29
31-03-2015,04704,07534,87676,14393,04572,20506,91801,56723,50273,99565,2109,4181,7581,5081,7895,4062,2650,3160,1085,1198,806,405,686,97,43,16,70
01-04-2015,35200,56639,71800,06656,97791,32466,70600,17823,69645,61785,6405,9658,8718,4023,4598,2825,0078,3325,7516,1499,488,945,809,77,37,12,96
02-04-2015,51565,74030,83778,72334,85379,47484,07906,61237,11245,59991,8747,6629,6692,5827,7524,0259,5880,0701,5153,3885,158,048,627,33,06,91,82
03-04-2015,59199,74035,06770,98549,18263,70603,40827,30761,64452,17063,6700,9304,4884,5567,4795,0441,1549,4295,8565,6629,749,910,718,92,43,19,06
04-04-2015,45881,79260,37235,16936,38603,53617,45040,00527,37155,19157,9221,2656,0534,2640,8458,0427,4317,4327,4162,1405,502,130,269,26,32,00,08
05-04-2015,07686,46559,91101,01939,91057,08060,17175,61130,08649,48469,7639,0088,5846,2049,2034,2948,0498,0305,6353,6012,235,707,905,36,75,35,71
06-04-2015,53967,04837,19824,02066,82390,70736,14285,50895,81451,39267,0368,7451,6404,4031,1294,7964,5533,0579,7021,5222,942,757,110,66,47,73,01
07-04-2015,78652,01180,33964,87745,26603,75456,01789,49090,42276,30959,6800,4593,4122,3330,7750,6447,1890,3800,4741,8647,014,093,456,92,33,48,97
08-04-2015,93325,11654,90664,14087,02498,93700,55783,28627,75220,77484,5648,3519,7883,7975,4429,7616,3166,8108,7475,3159,905,854,453,95,77,35,97
09-04-2015,49175,48983,52074,17053,41504,90086,11457,69511,24854,12578,6185,6833,2556,5630,6548,3939,8618,5359,6404,7420,249,706,586,21,79,40,06
10-04-2015,35615,68663,16076,87287,05700,35200,82252,82874,12843,76568,5927,6304,8925,7931,2472,4604,8111,3264,3989,4306,045,134,544,74,09,62,13
11-04-2015,08712,36855,08436,78543,43585,45087,92478,13518,19783,02901,1391,9804,7334,5383,8127,3210,6563,0425,6939,1083,911,791,431,75,62,25,03
12-04-2015,72096,84301,79014,06386,89467,94438,17924,18310,11577,03484,3106,7524,3865,6424,5281,6663,2123,4158,7625,9967,906,529,888,52,02,11,46
13-04-2015,49813,63752,74403,04943,62640,87357,30262,22747,52140,39831,8251,5408,1317,9990,1695,4917,7780,3815,7238,2545,093,337,831,74,43,45,84
14-04-2015,11164,95881,11462,83008,47100,80785,08814,64951,51158,50801,2913,8080,5484,1253,6100,4456,8391,5175,5915,8968,212,681,094,33,91,01,79
15-04-2015,85815,88359,46633,40404,59881,96033,81742,94345,74537,29764,8186,5526,1223,7573,1841,0955,1465,1981,5485,7786,966,321,805,24,43,38,60
16-04-2015,38673,45336,65546,20262,09499,83263,27866,96346,75653,75867,7758,5351,6942,5646,2362,7486,6309,3123,1919,8113,133,235,930,24,16,69,96
17-04-2015,34848,91283,54507,23853,85153,80448,25816,26637,08588,74260,0747,6570,5627,6841,3013,0367,8189,4846,6893,6814,096,644,248,01,44,74,95
18-04-2015,89316,73429,45961,81078,57030,10648,23558,22224,20024,07844,6001,5365,9633,1796,2048,4737,1555,7552,4652,8417,945,200,337,27,21,94,22
19-04-2015,90672,23810,11520,76260,31824,37031,28194,42507,73507,05326,9326,6031,6242,4190,3898,2265,9476,5529,9895,2986,950,901,053,07,63,09,08
20-04-2015,38066,31612,38310,78800,44111,35227,48039,71271,57895,70079,8790,0019,3979,6855,0303,6005,6494,1596,1348,5040,456,058,720,02,26,91,28
21-04-2015,39768,58530,01926,00928,43659,21233,74663,81345,16378,47261,9669,4175,8408,2067,4534,5410,4990,3753,4786,0706,489,732,244,23,75,39,80
22-04-2015,19460,15049,90056,84663,65132,15972,30879,16796,32221,70728,2204,9891,8070,9129,3125,7258,0970,3989,5633,2634,613,086,398,16,19,82,92
23-04-2015,21551,99188,40515,76900,30194,44160,95038,37920,03628,04110,6759,2376,6572,7115,0151,6688,9873,3055,5053,5007,242,625,551,56,92,51,79
24-04-2015,95378,82963,17099,95396,61842,29972,75801,47600,93887,62904,2042,5436,0004,6671,5818,4061,7671,2004,3217,8171,153,450,395,82,27,15,19
25-04-2015,38176,58969,50168,67830,55827,48992,75555,71103,28339,86025,5088,2107,2274,0844,1286,4970,0441,6067,2601,1049,253,475,824,30,52,24,16
26-04-2015,14493,44489,80918,67168,25946,13552,82530,94661,66922,96412,3573,5613,6682,7713,4399,6481,4357,9582,7403,5676,165,361,550,49,02,97,39
27-04-2015,53429,11517,82707,78861,00877,83839,25329,28521,71276,96686,1715,4336,4015,2588,1348,1077,2423,2358,6107,1118,004,389,040,35,55,81,04
28-04-2015,48571,00499,07370,91921,71973,32503,26797,39507,06296,94406,5698,8442,4924,5994,0748,5423,7787,8699,9570,2638,432,575,943,93,80,77,68
29-04-2015,80669,56271,52326,24540,57726,27518,51781,79073,03615,00092,0932,6119,1129,7138,6636,8387,5941,3357,2563,2340,340,868,807,65,64,83,38
30-04-2015,07844,86613,91197,89359,39307,48023,33292,67533,87224,48402,4334,8383,5702,1076,4329,4921,9752,3962,7870,4275,080,789,545,63,82,75,39
01-05-2015,46431,84894,54690,90623,90940,73089,88537,70894,51825,45804,3425,1411,4434,9376,0276,1697,8772,0918,8939,6564,739,740,005,49,61,24,09
02-05-2015,92947,75310,85451,53645,89059,98949,21478,99504,22867,92876,4365,2710,5032,9745,2971,6943,5850,8841,4554,0241,785,027,411,89,77,78,00
03-05-2015,85415,18106,34730,40554,87431,77067,22194,11406,41351,25722,9101,3038,3652,4365,3550,0183,6480,2438,6757,7131,700,000,461,77,54,70,23
04-05-2015,56983,24970,94625,32332,05285,50779,36240,26816,90768,31165,1009,8226,2662,0516,4583,6196,9449,0449,6005,7651,061,445,003,19,60,56,65
05-05-2015,44820,40489,94964,79651,69051,40919,89144,88938,41394,85605,8818,4802,8015,0305,4793,4935,1876,4659,6458,0427,371,318,597,38,41,14,12
06-05-2015,84075,03301,74878,95639,54874,13551,76800,68381,23963,29158,1295,1997,4240,0630,6078,7053,9378,4937,2690,7998,853,588,195,64,33,06,22
07-05-2015,64210,48029,15825,96920,48448,29445,17533,12001,43571,34545,5204,5953,5086,0007,4654,8406,5843,8683,7774,0129,683,638,041,16,12,95,46
08-05-2015,30191,96181,61308,36220,56085,79273,09727,19288,25214,53670,5653,6000,4342,2843,7020,0925,8215,4216,4635,2776,163,503,391,45,93,95,46
09-05-2015,32907,29474,74117,30290,34587,28496,94455,05150,98215,36972,5476,9593,2752,9444,0896,4039,3511,1602,4199,9000,372,892,040,20,95,64,41
10-05-2015,58268,07796,62598,17021,14208,99098,66512,74681,03389,67694,8980,0990,7416,4098,8174,8469,7233,9539,7649,8241,299,875,319,33,99,87,08
11-05-2015,00620,12955,15940,59214,95478,51011,49919,16944,89910,84649,5071,7552,2927,6270,4791,6044,3363,7104,0246,7484,520,201,741,91,81,58,54
12-05-2015,68375,50913,23351,86935,94815,53056,18985,90614,87999,98756,6747,6146,3562,4972,7234,3188,7029,2413,7470,5771,990,350,989,67,23,92,38
13-05-2015,20310,56704,25713,48708,17204,72144,95118,56456,24010,02030,9992,6388,9497,9935,4252,5866,7510,1751,7734,9781,317,047,773,38,04,50,00
14-05-2015,44195,01483,79049,28593,91643,36256,34938,14904,28897,57933,1569,9645,3505,4863,3633,6864,7035,2183,6806,5357,910,589,784,38,75,16,32
15-05-2015,14199,88807,26185,59873,06819,46527,60150,16403,17003,94561,6301,3973,9160,0872,6712,6886,6638,3863,7736,1328,249,108,126,65,44,52,87
16-05-2015,93043,89781,34841,82235,07148,63227,37658,34618,08608,38421,0149,2266,8090,2751,9164,5265,5686,8495,5042,0442,317,054,045,81,38,74,26
17-05-2015,08062,98370,84182,75308,56668,98226,05079,85910,74140,96242,7973,6202,3516,1957,3997,8571,2177,4985,2417,8520,397,222,313,61,50,17,35
18-05-2015,20906,20418,03707,09153,50925,59291,61436,32966,68442,75435,1189,7146,9101,9102,1423,5807,0634,8403,5733,2310,229,562,951,31,30,90,40
19-05-2015,44920,18287,59575,48722,24282,65494,36375,32013,68117,23815,3969,7493,6247,7067,8142,2678,3918,8818,7825,0985,010,340,550,22,00,64,63
20-05-2015,76663,17829,24176,42944,84711,38910,36675,36351,78797,36108,0807,1782,7619,8751,6774,0363,8981,5856,2161,6820,975,572,844,41,14,91,00
21-05-2015,52200,71593,35358,44290,95248,14584,85376,28220,69594,19528,9626,1077,8993,8638,7445,4758,8484,6449,3641,9889,005,854,111,20,71,39,80
22-05-2015,23026,91214,55042,43376,49211,87052,15211,97626,24134,71980,9987,2398,7296,7223,2673,3040,3714,6883,1942,8377,725,386,778,80,75,25,79
23-05-2015,41469,99403,98005,88717,65694,13769,42748,00026,55662,14551,5980,9543,5960,3249,0512,8675,5628,5131,9260,3919,944,925,954,47,40,14,16
24-05-2015,47944,66479,18332,57117,96712,36527,26890,02368,00291,73628,4691,9204,4309,2488,5289,3006,4375,8697,9833,2441,685,683,567,41,89,20,73
25-05-2015,47246,08953,18365,74345,33285,36833,00341,63796,76072,11891,3794,2960,8875,3436,0803,2321,6963,7810,5839,7190,718,099,141,13,78,66,16
26-05-2015,16856,46967,51226,23388,06244,87163,83181,09745,53734,08771,1308,0116,8106,4357,5370,6002,3459,6043,7920,1071,344,976,850,22,20,95,42
27-05-2015,83155,76256,62825,25531,24448,85836,31083,71943,00851,20291,9046,9537,3539,1482,6844,9148,2558,3089,1759,6647,585,278,505,92,14,56,24
28-05-2015,16661,46679,13718,59536,17804,95577,51021,46899,16778,33508,1222,3506,9545,8079,5932,0738,4994,2291,6274,4014,133,967,533,69,41,10,42
29-05-2015,45518,27154,14273,12385,15448,47469,22179,20577,00635,48954,7816,6174,6378,3020,7607,2222,1297,1317,5561,7202,380,965,032,64,42,40,99
30-05-2015,18637,35388,76572,02817,01241,62838,35914,74566,67066,74857,1970,0763,6314,3231,8407,0520,9083,6297,2468,0605,254,920,206,87,32,48,78
31-05-2015,16739,02761,88575,56639,07724,46033,22938,06661,11636,78637,6211,4967,9011,6613,5514,2625,6681,0398,3955,3868,814,837,968,24,42,21,68
01-06-2015,02178,87900,61312,27742,20955,43511,30886,93618,21966,51308,5519,8581,5773,6100,4685,2355,7513,2295,3482,5318,808,398,319,62,33,36,29
02-06-2015,17132,36248,12685,80131,97073,47580,57305,75278,17139,38783,3987,3704,5247,1203,9556,3103,2731,4165,2823,6989,435,646,926,93,15,67,87
03-06-2015,40740,26330,07870,67165,04621,03601,78528,25085,15558,03232,9078,0155,9261,1285,6840,3245,4812,9558,3129,0888,337,743,687,33,01,82,38
04-06-2015,41878,13450,36303,96352,87049,87480,78960,23439,05099,70970,5330,3608,9395,6962,4993,1722,5975,6263,0399,1804,854,166,997,83,15,37,87
05-06-2015,23184,73564,10730,59686,47050,97021,77542,55618,32568,82616,8839,7588,4469,4876,1268,5331,0433,7797,3997,3775,658,193,581,38,74,32,58
06-06-2015,08420,05823,57642,76121,63900,49954,67865,72264,65286,86293,0832,6770,3039,4044,9099,1731,5981,2500,7228,0590,850,979,838,25,16,17,76
07-06-2015,53295,86950,98381,56123,11860,45871,13986,83293,11246,86850,2623,0613,5529,7562,7169,0301,9857,3126,8771,3411,738,316,545,90,67,44,88
08-06-2015,86884,13977,70505,97837,92380,16676,80320,86621,47339,70436,7263,6569,5021,5318,6004,2576,4783,6641,5519,5205,252,790,235,48,24,35,76
09-06-2015,62027,43706,41999,63501,66882,59507,48047,07883,83388,61035,7105,9497,1967,0320,6044,0879,9470,2513,2499,6752,653,226,869,88,10,87,40
10-06-2015,80802,19817,63808,65806,47370,73756,34354,67217,02158,98335,1546,5087,1520,8013,2452,0018,6819,5555,1947,3460,618,641,443,79,62,26,52
11-06-2015,19566,72617,84247,01774,38646,05474,17923,84436,28855,09925,1794,4323,0318,6292,1109,3552,3791,7990,3921,7141,990,573,359,47,09,51,79
12-06-2015,83329,19135,02170,34576,29751,03156,72214,24084,76910,95521,0729,5102,4111,2418,6268,5997,0255,6533,9353,9347,412,069,270,54,20,19,34
13-06-2015,24282,40204,31560,72458,06814,58289,11760,75743,37759,37737,0377,9624,8190,6962,4800,8212,1579,4880,4901,5779,944,898,872,84,20,28,83
14-06-2015,25731,31532,88757,63409,19761,46407,41303,78405,78463,52487,2924,8859,8260,3087,1340,0730,9161,7987,3722,8281,948,012,234,49,64,95,15
15-06-2015,86948,83034,36347,42550,24480,24226,03726,95957,06093,77771,3625,3467,7241,4051,2233,1629,0016,8914,9430,8995,604,850,186,90,66,87,94
16-06-2015,15122,66826,02835,22247,49985,06975,73714,56032,18806,02152,9436,7400,1756,7101,7961,3776,2087,9055,3839,1485,829,369,814,77,35,16,92
17-06-2015,49267,71111,67882,06154,65253,01156,34835,98261,02440,10609,8959,7449,5776,3293,4982,9795,0248,6830,8589,4834,394,538,007,01,44,98,27
